Natural Language,Atomic Proposition,Ground Truth
"If x1 had been true in the current state, then it had been true in the previous two states and false in the one before that.",x1: x1,x1 -> (Y(x1) & Y(Y(x1)) & Y(Y(Y(!x1))))
"It had always been the case that x1 had been true until it had become false, and then false until it had become true.",x1: x1,(x1 S !x1) & (!x1 S x1)
"At some point, if x1 had been true, then two steps earlier it had always been the case that x1 had been false, or had always remained false.",x1: x1,Y(x1 -> Y(Y(H(!x1))) | H(!x1))
"At some point, it had always been the case that if x1 had been true, then in the previous state x1 had been false, and vice versa.",x1: x1,Y(H((x1 -> Y(!x1)) & (!x1 -> Y(x1))))
"It had always been the case that x1 or x2 had been true, x1 had held until x2 had held, and x2 had held until x1 had held.","x1: x1, x2: x2",H(x1 | x2) & (x1 S x2) & (x2 S x1)
"It had always been the case that if x1 had been true, then afterward x2 or x3 had been true; and that if x1 had been true, x2 or x3 had been false.","x1: x1, x2: x2, x3: x3",H((x1 -> Y(x2 | x3)) & (x1 -> !(x2 | x3)))
It had always been the case that x1 had been true and x2 had been true until x1 had been true and then x2 had remained true.,"x1: x1, x2: x2",H(x1) & (x2 S x1) & H(x2)
"If x1, x2 had eventually been true, then it had always been the case that if x1 had been true then x2 had been true, and vice versa.","x1: x1, x2: x2",(Y(x1 & x2)) -> H((x1 -> x2) & (x2 -> x1))
"It had always been the case that if x1 had been true, then in the previous state x1 had been false; and if x1 had been false, then in the previous state x1 had been true.",x1: x1,H((x1 -> Y(!x1)) & (!x1 -> Y(x1)))
"Eventually, it had always been the case that if x1 had been true, then in the two previous states x1 had been true and then false.",x1: x1,Y(H(x1 -> (Y(x1) & Y(Y(!x1)))))
Eventually x1 had been true if and only if x2 had been false in the previous state or x2 had always been true.,"x1: x1, x2: x2",Y(x1 <-> (Y(!x2) | H(x2)))
"It had always been the case that if x2 had been true, then x1 had not been true at any point; and if x3 had been true, then x2 had not been true at any point.","x1: x1, x2: x2, x3: x3",H((x2 -> !Y(x1)) & (x3 -> !Y(x2)))
"If x1 and x2 had been true, then x3 had been true in the previous state and false two steps back.","x1: x1, x2: x2, x3: x3",(x1 & x2) -> (Y(x3) & Y(Y(!x3)))
"If x1 had been true, then in the previous state x1 had been true, and the state before that as well.",x1: x1,x1 -> (Y(x1) & Y(Y(x1)))
"It had always been the case that if x1 had been true, then x2 and x3 had been false, and if x2 or x3 had been true, then x1 had been false.","x1: x1, x2: x2, x3: x3",H((x1 -> !x2 & !x3) & ((x2 | x3) -> !x1))
"It had always been the case that if x1 had been true, then in the previous state x2 had been true and two steps back x3 had been false.","x1: x1, x2: x2, x3: x3",H(x1 -> (Y(x2) & Y(Y(!x3))))
"If x1, x2, and x3 had eventually been true, then x4 had been true; otherwise, x4 had been false.","x1: x1, x2: x2, x3: x3",(Y(x1 & x2 & x3) -> x4) & (!Y(x1 & x2 & x3) -> !x4)
"It had always been the case that if x1 had been false, then x2 had been false, and if x2 had been false, then x1 had been false. Eventually, x1 and x2 had been true.","x1: x1, x2: x2",H((!x1 -> !x2) & (!x2 -> !x1)) & Y(x1 & x2)
"It was never the case that if x1 was true then x2 and x3 were not true, but only after x4 was true (which happened).","x1: x1, x2: x2, x3: x3, x4: x4",O(x4) & H(x1 -> (O(x4) -> (x2 & x3)))
x1 started true and was true exactly every third state,x1: x1,x1 & H((x1 -> Y(Y(Y(x1)))) & (!x1 -> (!Y(x1) & !Y(Y(x1)))))
"For a while, it was never the case that x1 was true and x2 was false at the same time, but after a certain point, x2 was always true.","x1: x1, x2: x2",O(H(x2)) & O(H(x1 -> x2))
"Whenever x1 was true, x1 was false and x2 was true in the state after; whenever x2 was true, x1 was false and x1 was true in the state after","x1: x1, x2: x2",H((x1 -> Y(!x1 & x2)) & (x2 -> Y(!x1 & x1)))
x3 was true if and only if x1 and x2 were true in the previous state and x1 and x2 were eventually true.,"x1: x1, x2: x2, x3: x3",H(x3 <-> (Y(x1 & x2) & O(x1 & x2)))
x1 was sometimes true until x2 was true and was false after (x1),"x1: x1, x2: x2",(!x2 S (x1 & !x2)) & H(x2 -> !x1)
"It always held that after x1 was true, x2 was true. x3 was not true until both x1 and x2 were true.","x1: x1, x2: x2, x3: x3",H(x1 -> Y(x2)) & (!(x1 & x2) S !x3)
"if (x1 and x2) were true at some point, then x1 was false until it was true. Otherwise, if x2 was true at some point, then x1 was also true at some point.","x1: x1, x2: x2",(O(x1 & x2) -> ((!x1) S x1)) & (!O(x1 & x2) -> (O(x2) -> O(x1)))
"Given states x1, x2, and x3: always transitioned in a cycle (ex. x1 -> x2 -> x3 -> x1 ...)","x1: x1, x2: x2, x3: x3",H((x1 -> Y(x3)) & (x2 -> Y(x1)) & (x3 -> Y(x2)))
"if x1 was never true, then x2 and x3 always alternated which was true, with only one being true at a time.","x1: x1, x2: x2, x3: x3",H(!x1) -> H((x2 <-> !x3) & (x2 -> Y(x3)) & (x3 -> Y(x2)))
"If x1 was always true, then x2 was always true until x3 was false","x1: x1, x2: x2, x3: x3",H(x1) -> (x2 S !x3)
"x2 and x3 became true on the same step, x1 became true the step after x2 became true, x4 was true until x1 was true, x2 was true at some point","x1: x1, x2: x2, x3: x3",O(x2 & x3) & H(Y(x2) -> x1) & (x4 S x1) & O(x2)
a held at most two timestamps,a : a,!O(Y(O(Y(O(a)))))
a could only hold every three timestamps,a : a,H(a -> !Y(a) & !Y(Y(a)) & Y(Y(Y(a))))
"Blue was on in 1, off in 2, and alternated evermore",x1: x1,x1 & Y(!x1) & H(Y(Y(x1 <-> Y(Y(x1)))))
An upwards travelling lift at the second floor did not change its direction when it had passengers wishing to go to the fifth floor,"“At the second floor” :  x1, “going up” : x2, “button pressed for fifth floor” : x3, “arrive at the fifth floor” : x4",H((x1 & x2 & x3) -> (x2 S x4))
"It always held that if x1 was true, x1 was false at the next state, and it was always true that if x1 was false, x1 was true at the next state",x1: x1,H((x1 -> Y(!x1)) & (!x1 -> Y(x1)))
"if x1 was true in any state, then it was true in the previous state, and true in the state before that, and false in the state before that",x1: x1,H(x1 -> Y(x1 & Y(x1 & Y(!x1))))
it was always the case that x1 was true until x1 was false and x1 was false until x1 was true at some point,x1: x1,H(x1 S !x1) & O(!x1 S x1)
"at some point, if x1 was true then in the state before the previous state it was always the case that x1 was false or x1 was always false",x1: x1,O(x1 -> H(Y(Y(!x1)))) | H(!x1)
at some point it was always the case that if x1 was true then in the previous state x1 was false and always if x1 was false then in the previous state x1 was true,x1: x1,O(H((x1 -> Y(!x1)) & (!x1 -> Y(x1))))
it was always the case that x1 or x2 were true and x1 was true until x2 was true and x2 was true until x1 was true,"x1: x1, x2: x2",H(x1 | x2) & H(x1 S x2) & H(x2 S x1)
it was always the case that if x1 was true then before that x2 or x3 were true and always if x1 was true then x2 or x3 were false,"x1: x1, x2: x2, x3: x3",H(x1 -> Y(x2 | x3)) & H(x1 -> !(x2 | x3))
it was always the case that x1 was true and always x2 was true until x1 was true and eventually x2 remained true,"x1: x1, x2: x2",H(x1) & H(x2 S x1) & O(H(x2))
if at some point x1 and x2 were true then always if x1 was true then x2 was true and if x2 was true then x1 was true,"x1: x1, x2: x2",O(x1 & x2) -> H((x1 -> x2) & (x2 -> x1))
it was always the case that if x1 was true then in the previous state x1 was false and if x1 was false then in the previous state x1 was true,x1: x1,H((x1 -> Y(!x1)) & (!x1 -> Y(x1)))
at some point it was always the case that if x1 was true then in the previous state x1 was true and in the state before the previous state x1 was false and always if x1 was false then in the previous state x1 was false and then state before the previous state x1 was true,x1: x1,O(H((x1 -> (Y(x1) & Y(Y(!x1)))) & (!x1 -> (Y(!x1) & Y(Y(x1))))))
at some point x1 was true if and only if in the previous state x2 was false or it was always the case that x2 was true,"x1: x1, x2: x2",O(x1 <-> (Y(!x2) | H(x2)))
it was always the case that if x2 was true then it was not the case that x1 was ever true and if x3 was true then it was not the case that x2 was ever true,"x1: x1, x2: x2, x3: x3",H((x2 -> !O(x1)) & (x3 -> !O(x2)))
if x1 and x2 were true then in the previous state x3 was true and in the state before the previous state x3 was false,"x1: x1, x2: x2, x3: x3",H((x1 & x2) -> (Y(x3) & Y(Y(!x3))))
if x1 was true then in the previous state x1 was true and if in the previous state x1 was true then in the state before the previous state x1 was true,x1: x1,H(x1 -> Y(x1)) & H(Y(x1) -> Y(Y(x1)))
it was always the case that if x1 was true then x2 was false and x3 was false and it was always the case that if x2 or x3 was true then x1 was false,"x1: x1, x2: x2, x3: x3",H((x1 -> (!x2 & !x3)) & ((x2 | x3) -> !x1))
it was always the case that if x1 was true then in the previous state x2 was true and in the state before the previous state x3 was false,"x1: x1, x2: x2, x3: x3",H(x1 -> (Y(x2) & Y(Y(!x3))))
"if at some point x1, x2 and x3 were true then x4 was true and if it was not the case that at some point x1, x2 and x3 were true then x4 was false","x1: x1, x2: x2, x3: x3, x4: x4",(O(x1 & x2 & x3) -> x4) & (!O(x1 & x2 & x3) -> !x4)
it was always the case that if x1 was false then x2 was false and if x2 was false then x1 was false. and at some point x1 and x2 were true,"x1: x1, x2: x2",H((!x1 -> !x2) & (!x2 -> !x1)) & O(x1 & x2)
"x3 had been true if and only if x1 and x2 had been true in the previous state, and x1 and x2 had been true at some point earlier.","x1: x1, x2: x2, x3: x3",H(x3 <-> (Y(x1 & x2) & Y(x1 & x2)))
"x1 had sometimes been true until x2 became true, and must have been false afterward.","x1: x1, x2: x2",(x1 S !x2) & H(x2 -> !x1)
"It had always been the case that once x1 had been true, x2 became true. x3 had not been true until both x1 and x2 had been true.","x1: x1, x2: x2",H((Y(x1) -> x2) & (x3 S (x1 & x2)))
"If (x1 and x2) had been true at some point, then x1 had been false until it became true. Otherwise, if x2 had been true, x1 had eventually been true.","x1: x1, x2: x2",((Y(x1 & x2)) -> (!x1 S x1)) & ((Y(x2)) -> Y(x1))
"It had always been the case that if x1 had been true, it had been false in the previous state, and vice versa.",x1: x1,H((x1 -> Y(!x1)) & (!x1 -> Y(x1)))
The pattern of truth and falsity of x1 in the first 3 entries had repeated in the past.,x1: x1,Y(Y(x1 <-> Y(Y(x1))))
"For a while, it had never been the case that x1 was true while x2 was false at the same time, but after some point, x2 had always been true.","x1: x1, x2: x2",H((x1 -> x2)) S (H(x2))
"Whenever x1 had been true, it had been false and x2 had been true in the state before; whenever x2 had been true, x1 had been false and x1 had been true in the state before.","x1: x1, x2: x2",H((x1 -> (Y(!x1 & x2))) & (x2 -> (Y(!x1 & x1))))
"It was never false that if x1 was true, then x2 and x3 were true, but only after x4 was true.","x1: x1, x2: x2, x3: x3, x4: x4",H (x4 -> H (x1 -> (x2 & x3)))
x1 was initially true and was true exactly every third state.,x1: x1,x1 & H (x1 -> (!x1 S (!x1 S x1)))
"Whenever x1 was true, in the next state, x1 was false and x2 was true.","x1: x1, x2: x2",H (x1 -> (Y(!x1 & x2)))
Either x1 and x2 were true every 5th step or x3 was true every 3rd step.,"x1: x1, x2: x2, x3: x3",H ( (O (x1 & x2 & Y(!(x1 & x2) S(x1 & x2)))) | (O(x3 & Y(!x3 S x3))) )
x3 was true if and only if x1 and x2 were true in the previous state and x1 and x2 had been true at some point.,"x1: x1, x2: x2, x3: x3",H (x3 <-> (Y(x1 & x2) & O (x1 & x2)))
"x1 was sometimes true until x2 became true, and then x1 was false afterward.","x1: x1, x2: x2",(O x1) S (x2 & H (!x1))
"It always held that after x1 was true, x2 was true. x3 was not true until both x1 and x2 had been true.","x1: x1, x2: x2, x3: x3",H (x1 -> F x2) & (!x3 S (x1 & x2))
"If x1 was never true, then x2 and x3 alternated, with only one true at a time.","x1: x1, x2: x2, x3: x3",H (!x1) -> H ( (x2 -> P !x3) & (x3 -> P !x2) )
"If x1 was always true, then x2 was always true until x3 became false.","x1: x1, x2: x2, x3: x3",H (x1) -> (x2 S !x3)
"The robot went to the cafe on Main street, then stopped by a bank, then went to McDonald’s, but only after visiting the bank.","""Cafe"" : x1, ""bank"" : x2, ""McDonald's"" : x3",(x1 & !x2 & !x3) S (x2 & !x3) S x3
